marca,modelo,ano,quilometragem,preco,combustivel,car_documents,tipo,transmissão,year_range,km's driven_range
Toyota,Passo,2021,54000.0,41900,Gasolina,Original,Importado,Automatic,6,2
Suzuki,Ravi,2018,95000.0,13000,Gasolina,Original,Nacional,Manual,5,4
Suzuki,Bolan,2015,50000.0,80000,Gasolina,Original,Nacional,Manual,4,2
Daihatsu,Move,2013,94000.0,21550,Gasolina,Original,Importado,Automatic,4,4
Suzuki,Swift,2011,126544.0,14400,Gasolina,Original,Nacional,Manual,3,5
Suzuki,Wagon R,2020,54000.0,28300,Gasolina,Original,Nacional,Automatic,5,2
Daihatsu,Mira,2013,140000.0,21500,Gasolina,Original,Importado,Automatic,4,5
Suzuki,Bolan,2016,32000.0,10500,Gasolina,Original,Nacional,Manual,4,2
Honda,City IDSI,2004,160000.0,12300,Gasolina,Original,Nacional,Manual,1,6
Suzuki,Cultus VXR,2008,75000.0,95000,Gasolina,Original,Nacional,Manual,2,3
Suzuki,Every,2018,101628.0,18500,Gasolina,Original,Importado,Automatic,5,4
Toyota,Corolla XLI,2007,346000.0,18950,Gasolina,Original,Nacional,Manual,2,12
Suzuki,Baleno,2004,140000.0,93000,Gasolina,Original,Importado,Manual,1,5
Honda,City Vario,2006,80000.0,16700,Gasolina,Original,Importado,Automatic,2,3
Daihatsu,Move,2021,6500.0,34990,Gasolina,Original,Importado,Automatic,6,1
Daihatsu,Terios Kid,2004,123123.0,14250,Gasolina,Original,Importado,Automatic,1,5
Daihatsu,Move,2013,73000.0,21500,Gasolina,Original,Importado,Automatic,4,3
Honda,Civic Prosmetic,2007,160000.0,16700,Gasolina,Original,Nacional,Automatic,2,6
Suzuki,Cultus VXR,2006,80000.0,90000,Gasolina,Original,Importado,Manual,2,3
Daihatsu,Mira,2011,115000.0,66000,Gasolina,Duplicate,Importado,Automatic,3,4
Honda,City IVTEC,2023,112076.0,34000,Gasolina,Original,Nacional,Manual,6,4
Toyota,Corolla XLI,2008,100000.0,19200,GNV,Original,Importado,Manual,2,4
Suzuki,Wagon R,2014,125000.0,16000,Gasolina,Original,Nacional,Manual,4,5
Hyundai,Santro,2007,84298.0,89000,Gasolina,Original,Nacional,Manual,2,3
Toyota,Corrolla Altis,2019,49000.0,44750,Gasolina,Original,Nacional,Automatic,5,2
Suzuki,Cultus VXR,2009,52000.0,10500,Gasolina,Original,Nacional,Manual,3,2
Honda,City Aspire,2021,75000.0,41990,Gasolina,Original,Nacional,Automatic,6,3
Suzuki,Mehran VXR,2009,96000.0,62000,Gasolina,Original,Nacional,Manual,3,4
Daihatsu,Cuore,2006,100000.0,10000,Gasolina,Original,Importado,Manual,2,4
Honda,Civic Prosmetic,2009,105700.0,18250,Gasolina,Original,Nacional,Automatic,3,4
Mitsubishi,Pajero Mini,2007,100000.0,10250,Gasolina,Original,Importado,Manual,2,4
Suzuki,Swift,2017,90000.0,21000,Gasolina,Original,Nacional,Manual,5,3
Toyota,Passo,2015,55600.0,30900,Gasolina,Original,Importado,Automatic,4,2
Honda,City IVTEC,2013,130000.0,26500,Gasolina,Original,Nacional,Automatic,4,5
Honda,City IVTEC,2013,85000.0,31000,Gasolina,Original,Nacional,Manual,4,3
KIA,Picanto,2021,14600.0,30000,Gasolina,Original,Nacional,Automatic,6,1
Daihatsu,Cuore,2007,100000.0,83000,Gasolina,Original,Importado,Manual,2,4
Suzuki,Bolan,2015,50000.0,95000,Gasolina,Original,Nacional,Manual,4,2
Honda,City Aspire,2021,64000.0,45000,Gasolina,Original,Nacional,Automatic,6,3
Suzuki,Alto,2012,58600.0,11650,Gasolina,Original,Nacional,Manual,3,2
Changan,Karvaan,2021,27000.0,22500,Gasolina,Original,Nacional,Manual,6,1
Suzuki,Swift,2016,92900.0,22250,Gasolina,Original,Nacional,Manual,4,4
Suzuki,Ravi,2015,65000.0,70000,Gasolina,Original,Nacional,Manual,4,3
Suzuki,Baleno,2005,109000.0,13800,Gasolina,Original,Nacional,Manual,2,4
FAW,X-PV,2016,156000.0,87500,Gasolina,Original,Importado,Manual,4,6
Daihatsu,Mira,2013,60000.0,22000,Gasolina,Original,Importado,Automatic,4,2
Toyota,Corolla XLI,2017,300000.0,27200,Gasolina,Original,Nacional,Manual,5,10
Suzuki,Alto,2023,15000.0,29000,Gasolina,Original,Nacional,Automatic,6,1
Daihatsu,Mira,2011,82356.0,20100,Gasolina,Original,Importado,Automatic,3,3
Suzuki,Bolan,2014,80000.0,11300,Gasolina,Original,Importado,Manual,4,3
Suzuki,Alto,2003,90000.0,68000,Gasolina,Original,Nacional,Manual,1,3
Daihatsu,Hijet,2016,123456.0,18500,Gasolina,Original,Importado,Automatic,4,5
Daihatsu,Cuore,2010,70000.0,83000,Gasolina,Original,Nacional,Manual,3,3
Mitsubishi,Ek Wagon,2013,83000.0,20000,Gasolina,Original,Importado,Automatic,4,3
Suzuki,Swift,2022,13000.0,47500,Gasolina,Original,Nacional,Automatic,6,1
Suzuki,Baleno,2004,249000.0,90000,Gasolina,Original,Importado,Manual,1,10
Suzuki,Wagon R,2012,120000.0,21000,Gasolina,Original,Importado,Automatic,3,4
Suzuki,Bolan,2007,50000.0,85000,Gasolina,Original,Importado,Manual,2,2
Toyota,Passo,2018,80000.0,37500,Gasolina,Original,Importado,Automatic,5,3
Toyota,Corolla XLI,2011,123456.0,20700,Gasolina,Original,Nacional,Manual,3,5
Toyota,Altis Grande,2014,150000.0,33000,Gasolina,Original,Importado,Manual,4,5
Mercedes,E Class,2003,120000.0,36000,Gasolina,Original,Importado,Automatic,1,4
Honda,City IDSI,2006,152000.0,17000,Gasolina,Original,Nacional,Manual,2,6
Hyundai,Santro,2002,100000.0,65000,Gasolina,Original,Nacional,Manual,1,4
Daihatsu,Move,2021,100000.0,29000,Gasolina,Original,Importado,Automatic,6,4
Honda,City IDSI,2001,40000.0,95000,Gasolina,Original,Importado,Automatic,1,2
Daihatsu,Hijet,2011,150000.0,23000,Gasolina,Original,Importado,Automatic,3,5
Toyota,Corolla XLI,2007,250000.0,13500,Gasolina,Original,Importado,Manual,2,10
Toyota,Yaris,2022,22000.0,50000,Gasolina,Original,Importado,Automatic,6,1
Toyota,Corrolla Altis,2010,105000.0,23500,Gasolina,Original,Nacional,Automatic,3,4
Suzuki,Cultus VXR,2005,95000.0,95000,Gasolina,Original,Importado,Manual,2,4
Honda,City Aspire,2019,60500.0,39500,Gasolina,Original,Nacional,Manual,5,3
Suzuki,Ravi,2017,60000.0,15000,Gasolina,Original,Importado,Manual,5,2
Suzuki,Swift,2013,99000.0,18200,Gasolina,Original,Nacional,Manual,4,4
Suzuki,Alto,2022,7300.0,28150,Gasolina,Original,Nacional,Automatic,6,1
Mitsubishi,Lancer,2005,112233.0,12000,Gasolina,Original,Importado,Manual,2,4
Suzuki,Swift,2016,123000.0,22000,Gasolina,Original,Importado,Manual,4,5
Suzuki,Baleno,2005,75000.0,56000,Gasolina,Duplicate,Nacional,Manual,2,3
Daihatsu,Cuore,2011,35000.0,12000,Gasolina,Original,Nacional,Automatic,3,2
Suzuki,Wagon R,2018,93575.0,19250,Gasolina,Original,Importado,Manual,5,4
Suzuki,Baleno,2003,99999.0,93000,Gasolina,Original,Nacional,Manual,1,4
Changan,Karvaan,2022,7000.0,22000,Gasolina,Original,Nacional,Manual,6,1
Suzuki,Wagon R,2019,50000.0,25000,Gasolina,Original,Nacional,Manual,5,2
Toyota,Corolla XLI,2020,48000.0,43000,Gasolina,Original,Nacional,Automatic,5,2
Toyota,Corolla GLI,2019,60000.0,21950,Gasolina,Original,Nacional,Manual,5,2
FAW,X-PV,2014,150000.0,90000,Gasolina,Original,Nacional,Manual,4,5
Toyota,Yaris,2021,42000.0,41000,Gasolina,Original,Nacional,Automatic,6,2
Suzuki,Bolan,2009,100000.0,86000,Gasolina,Original,Nacional,Manual,3,4
Suzuki,Mehran VXR,2011,35000.0,53000,Gasolina,Original,Nacional,Manual,3,2
Honda,City IVTEC,2010,210000.0,24900,Gasolina,Original,Nacional,Manual,3,7
Daihatsu,Mira,2012,100000.0,20700,Gasolina,Original,Importado,Automatic,3,4
Daihatsu,Hijet,2017,5700.0,11500,Gasolina,Original,Importado,Automatic,5,1
Toyota,Corolla GLI,2012,105000.0,26500,Gasolina,Original,Nacional,Manual,3,4
Suzuki,Swift,2016,74000.0,22250,Gasolina,Original,Nacional,Manual,4,3
Suzuki,Swift,2019,62000.0,26900,Gasolina,Original,Nacional,Manual,5,3
Suzuki,Wagon R,2021,8000.0,29000,Gasolina,Original,Nacional,Manual,6,1
Suzuki,Bolan,2015,46500.0,85000,Gasolina,Original,Nacional,Manual,4,2
Daihatsu,Cuore,2008,84512.0,74500,Gasolina,Original,Nacional,Manual,2,3
Toyota,Corolla XLI,2007,150000.0,16500,Gasolina,Original,Nacional,Manual,2,5
Honda,City IDSI,2005,95000.0,16250,Gasolina,Original,Importado,Manual,2,4
Chevrolet,Joy,2009,107000.0,90000,Gasolina,Original,Importado,Manual,3,4
Honda,Civic Oriel,2017,90000.0,48500,Gasolina,Original,Nacional,Automatic,5,3
Toyota,Yaris,2021,20000.0,43800,Gasolina,Original,Nacional,Automatic,6,1
Suzuki,Every,2021,15654.0,32700,Gasolina,Original,Importado,Automatic,6,1
Hyundai,Santro,2003,123456.0,82500,Gasolina,Original,Nacional,Manual,1,5
Suzuki,Alto,2004,100000.0,48000,GNV,Original,Nacional,Manual,1,4
