marca,modelo,ano,quilometragem,preco,combustivel,car_documents,tipo,transmissão,year_range,km's driven_range
Toyota,Passo,2021,54000.0,4190000,Gasolina,Original,Importado,Automatic,6,2
Suzuki,Ravi,2018,95000.0,1300000,Gasolina,Original,Nacional,Manual,5,4
Suzuki,Bolan,2015,50000.0,800000,Gasolina,Original,Nacional,Manual,4,2
Daihatsu,Move,2013,94000.0,2155000,Gasolina,Original,Importado,Automatic,4,4
Suzuki,Swift,2011,126544.0,1440000,Gasolina,Original,Nacional,Manual,3,5
Suzuki,Wagon R,2020,54000.0,2830000,Gasolina,Original,Nacional,Automatic,5,2
Daihatsu,Mira,2013,140000.0,2150000,Gasolina,Original,Importado,Automatic,4,5
Suzuki,Bolan,2016,32000.0,1050000,Gasolina,Original,Nacional,Manual,4,2
Honda,City IDSI,2004,160000.0,1230000,Gasolina,Original,Nacional,Manual,1,6
Suzuki,Cultus VXR,2008,75000.0,950000,Gasolina,Original,Nacional,Manual,2,3
Suzuki,Every,2018,101628.0,1850000,Gasolina,Original,Importado,Automatic,5,4
Toyota,Corolla XLI,2007,346000.0,1895000,Gasolina,Original,Nacional,Manual,2,12
Suzuki,Baleno,2004,140000.0,930000,Gasolina,Original,Importado,Manual,1,5
Honda,City Vario,2006,80000.0,1670000,Gasolina,Original,Importado,Automatic,2,3
Daihatsu,Move,2021,6500.0,3499000,Gasolina,Original,Importado,Automatic,6,1
Daihatsu,Terios Kid,2004,123123.0,1425000,Gasolina,Original,Importado,Automatic,1,5
Daihatsu,Move,2013,73000.0,2150000,Gasolina,Original,Importado,Automatic,4,3
Honda,Civic Prosmetic,2007,160000.0,1670000,Gasolina,Original,Nacional,Automatic,2,6
Suzuki,Cultus VXR,2006,80000.0,900000,Gasolina,Original,Importado,Manual,2,3
Daihatsu,Mira,2011,115000.0,660000,Gasolina,Duplicate,Importado,Automatic,3,4
Honda,City IVTEC,2023,112076.0,3400000,Gasolina,Original,Nacional,Manual,6,4
Toyota,Corolla XLI,2008,100000.0,1920000,GNV,Original,Importado,Manual,2,4
Suzuki,Wagon R,2014,125000.0,1600000,Gasolina,Original,Nacional,Manual,4,5
Hyundai,Santro,2007,84298.0,890000,Gasolina,Original,Nacional,Manual,2,3
Toyota,Corrolla Altis,2019,49000.0,4475000,Gasolina,Original,Nacional,Automatic,5,2
Suzuki,Cultus VXR,2009,52000.0,1050000,Gasolina,Original,Nacional,Manual,3,2
Honda,City Aspire,2021,75000.0,4199000,Gasolina,Original,Nacional,Automatic,6,3
Suzuki,Mehran VXR,2009,96000.0,620000,Gasolina,Original,Nacional,Manual,3,4
Daihatsu,Cuore,2006,100000.0,1000000,Gasolina,Original,Importado,Manual,2,4
Honda,Civic Prosmetic,2009,105700.0,1825000,Gasolina,Original,Nacional,Automatic,3,4
Mitsubishi,Pajero Mini,2007,100000.0,1025000,Gasolina,Original,Importado,Manual,2,4
Suzuki,Swift,2017,90000.0,2100000,Gasolina,Original,Nacional,Manual,5,3
Toyota,Passo,2015,55600.0,3090000,Gasolina,Original,Importado,Automatic,4,2
Honda,City IVTEC,2013,130000.0,2650000,Gasolina,Original,Nacional,Automatic,4,5
Honda,City IVTEC,2013,85000.0,3100000,Gasolina,Original,Nacional,Manual,4,3
KIA,Picanto,2021,14600.0,3000000,Gasolina,Original,Nacional,Automatic,6,1
Daihatsu,Cuore,2007,100000.0,830000,Gasolina,Original,Importado,Manual,2,4
Suzuki,Bolan,2015,50000.0,950000,Gasolina,Original,Nacional,Manual,4,2
Honda,City Aspire,2021,64000.0,4500000,Gasolina,Original,Nacional,Automatic,6,3
Suzuki,Alto,2012,58600.0,1165000,Gasolina,Original,Nacional,Manual,3,2
Changan,Karvaan,2021,27000.0,2250000,Gasolina,Original,Nacional,Manual,6,1
Suzuki,Swift,2016,92900.0,2225000,Gasolina,Original,Nacional,Manual,4,4
Suzuki,Ravi,2015,65000.0,700000,Gasolina,Original,Nacional,Manual,4,3
Suzuki,Baleno,2005,109000.0,1380000,Gasolina,Original,Nacional,Manual,2,4
FAW,X-PV,2016,156000.0,875000,Gasolina,Original,Importado,Manual,4,6
Daihatsu,Mira,2013,60000.0,2200000,Gasolina,Original,Importado,Automatic,4,2
Toyota,Corolla XLI,2017,300000.0,2720000,Gasolina,Original,Nacional,Manual,5,10
Suzuki,Alto,2023,15000.0,2900000,Gasolina,Original,Nacional,Automatic,6,1
Daihatsu,Mira,2011,82356.0,2010000,Gasolina,Original,Importado,Automatic,3,3
Suzuki,Bolan,2014,80000.0,1130000,Gasolina,Original,Importado,Manual,4,3
Suzuki,Alto,2003,90000.0,680000,Gasolina,Original,Nacional,Manual,1,3
Daihatsu,Hijet,2016,123456.0,1850000,Gasolina,Original,Importado,Automatic,4,5
Daihatsu,Cuore,2010,70000.0,830000,Gasolina,Original,Nacional,Manual,3,3
Mitsubishi,Ek Wagon,2013,83000.0,2000000,Gasolina,Original,Importado,Automatic,4,3
Suzuki,Swift,2022,13000.0,4750000,Gasolina,Original,Nacional,Automatic,6,1
Suzuki,Baleno,2004,249000.0,900000,Gasolina,Original,Importado,Manual,1,10
Suzuki,Wagon R,2012,120000.0,2100000,Gasolina,Original,Importado,Automatic,3,4
Suzuki,Bolan,2007,50000.0,850000,Gasolina,Original,Importado,Manual,2,2
Toyota,Passo,2018,80000.0,3750000,Gasolina,Original,Importado,Automatic,5,3
Toyota,Corolla XLI,2011,123456.0,2070000,Gasolina,Original,Nacional,Manual,3,5
Toyota,Altis Grande,2014,150000.0,3300000,Gasolina,Original,Importado,Manual,4,5
Mercedes,E Class,2003,120000.0,3600000,Gasolina,Original,Importado,Automatic,1,4
Honda,City IDSI,2006,152000.0,1700000,Gasolina,Original,Nacional,Manual,2,6
Hyundai,Santro,2002,100000.0,650000,Gasolina,Original,Nacional,Manual,1,4
Daihatsu,Move,2021,100000.0,2900000,Gasolina,Original,Importado,Automatic,6,4
Honda,City IDSI,2001,40000.0,950000,Gasolina,Original,Importado,Automatic,1,2
Daihatsu,Hijet,2011,150000.0,2300000,Gasolina,Original,Importado,Automatic,3,5
Toyota,Corolla XLI,2007,250000.0,1350000,Gasolina,Original,Importado,Manual,2,10
Toyota,Yaris,2022,22000.0,5000000,Gasolina,Original,Importado,Automatic,6,1
Toyota,Corrolla Altis,2010,105000.0,2350000,Gasolina,Original,Nacional,Automatic,3,4
Suzuki,Cultus VXR,2005,95000.0,950000,Gasolina,Original,Importado,Manual,2,4
Honda,City Aspire,2019,60500.0,3950000,Gasolina,Original,Nacional,Manual,5,3
Suzuki,Ravi,2017,60000.0,1500000,Gasolina,Original,Importado,Manual,5,2
Suzuki,Swift,2013,99000.0,1820000,Gasolina,Original,Nacional,Manual,4,4
Suzuki,Alto,2022,7300.0,2815000,Gasolina,Original,Nacional,Automatic,6,1
Mitsubishi,Lancer,2005,112233.0,1200000,Gasolina,Original,Importado,Manual,2,4
Suzuki,Swift,2016,123000.0,2200000,Gasolina,Original,Importado,Manual,4,5
Suzuki,Baleno,2005,75000.0,560000,Gasolina,Duplicate,Nacional,Manual,2,3
Daihatsu,Cuore,2011,35000.0,1200000,Gasolina,Original,Nacional,Automatic,3,2
Suzuki,Wagon R,2018,93575.0,1925000,Gasolina,Original,Importado,Manual,5,4
Suzuki,Baleno,2003,99999.0,930000,Gasolina,Original,Nacional,Manual,1,4
Changan,Karvaan,2022,7000.0,2200000,Gasolina,Original,Nacional,Manual,6,1
Suzuki,Wagon R,2019,50000.0,2500000,Gasolina,Original,Nacional,Manual,5,2
Toyota,Corolla XLI,2020,48000.0,4300000,Gasolina,Original,Nacional,Automatic,5,2
Toyota,Corolla GLI,2019,60000.0,2195000,Gasolina,Original,Nacional,Manual,5,2
FAW,X-PV,2014,150000.0,900000,Gasolina,Original,Nacional,Manual,4,5
Toyota,Yaris,2021,42000.0,4100000,Gasolina,Original,Nacional,Automatic,6,2
Suzuki,Bolan,2009,100000.0,860000,Gasolina,Original,Nacional,Manual,3,4
Suzuki,Mehran VXR,2011,35000.0,530000,Gasolina,Original,Nacional,Manual,3,2
Honda,City IVTEC,2010,210000.0,2490000,Gasolina,Original,Nacional,Manual,3,7
Daihatsu,Mira,2012,100000.0,2070000,Gasolina,Original,Importado,Automatic,3,4
Daihatsu,Hijet,2017,5700.0,1150000,Gasolina,Original,Importado,Automatic,5,1
Toyota,Corolla GLI,2012,105000.0,2650000,Gasolina,Original,Nacional,Manual,3,4
Suzuki,Swift,2016,74000.0,2225000,Gasolina,Original,Nacional,Manual,4,3
Suzuki,Swift,2019,62000.0,2690000,Gasolina,Original,Nacional,Manual,5,3
Suzuki,Wagon R,2021,8000.0,2900000,Gasolina,Original,Nacional,Manual,6,1
Suzuki,Bolan,2015,46500.0,850000,Gasolina,Original,Nacional,Manual,4,2
Daihatsu,Cuore,2008,84512.0,745000,Gasolina,Original,Nacional,Manual,2,3
Toyota,Corolla XLI,2007,150000.0,1650000,Gasolina,Original,Nacional,Manual,2,5
Honda,City IDSI,2005,95000.0,1625000,Gasolina,Original,Importado,Manual,2,4
Chevrolet,Joy,2009,107000.0,900000,Gasolina,Original,Importado,Manual,3,4
Honda,Civic Oriel,2017,90000.0,4850000,Gasolina,Original,Nacional,Automatic,5,3
Toyota,Yaris,2021,20000.0,4380000,Gasolina,Original,Nacional,Automatic,6,1
Suzuki,Every,2021,15654.0,3270000,Gasolina,Original,Importado,Automatic,6,1
Hyundai,Santro,2003,123456.0,825000,Gasolina,Original,Nacional,Manual,1,5
Suzuki,Alto,2004,100000.0,480000,GNV,Original,Nacional,Manual,1,4
KIA,Classic,2000,12345.0,450000,Gasolina,Original,Nacional,Manual,1,1
KIA,Spectra,2002,120000.0,550000,GNV,Original,Importado,Manual,1,4
Suzuki,Mehran VXR,2012,70000.0,820000,Gasolina,Original,Importado,Manual,3,3
Daihatsu,Move,2012,77000.0,2275000,Gasolina,Original,Importado,Automatic,3,3
Suzuki,Alto,2021,70000.0,2350000,Gasolina,Original,Nacional,Manual,6,3
Suzuki,Mehran VXR,2006,1234.0,545000,Gasolina,Original,Nacional,Manual,2,1
Suzuki,Wagon R,2018,122000.0,2100000,Gasolina,Original,Nacional,Manual,5,5
Daihatsu,Hijet,2018,130000.0,1395000,Gasolina,Original,Importado,Automatic,5,5
Honda,City IVTEC,2019,43000.0,4200000,Gasolina,Original,Nacional,Automatic,5,2
