Car Name,Make,Model,KM's driven,Price,Fuel_Diesel,Fuel_Hybrid,Fuel_Petrol,Transmission_Manual,Car Age
fresh import Passo 2021model,Toyota,Passo,54000,4190000,False,False,True,False,3
Suzuki ravi,Suzuki,Ravi,95000,1300000,False,False,True,True,6
Suzuki bolan 2015 contact 03112271054,Suzuki,Bolan,50000,800000,False,False,True,True,9
Diahatsu Move 2013,Daihatsu,Move,94000,2155000,False,False,True,False,11
Suzuki Swift DLX 2011 miner tuchap,Suzuki,Swift,126544,1440000,False,False,True,True,13
WagonR AGS total genuine,Suzuki,Wagon R,54000,2830000,False,False,True,False,4
Daihatsu Mira,Daihatsu,Mira,140000,2150000,False,False,True,False,11
Suzuki Bolan 2016 genuine condition low mileage,Suzuki,Bolan,32000,1050000,False,False,True,True,8
2004 Honda City,Honda,City IDSI,160000,1230000,False,False,True,True,20
car Bashir s 80 janwan Hain 03218823600,Suzuki,Cultus VXR,75000,950000,False,False,True,True,16
Suzuki Every,Suzuki,Every,101628,1850000,False,False,True,False,6
I am selling Xli 2007,Toyota,Corolla XLI,346000,1895000,False,False,True,True,17
SUZUKI BALENO SPORTS 1.3 MANUAL,Suzuki,Baleno,140000,930000,False,False,True,True,20
Honda city family car 2006 white color,Honda,City Vario,80000,1670000,False,False,True,False,18
Daihatau Move 2021,Daihatsu,Move,6500,3499000,False,False,True,False,3
terios kid,Daihatsu,Terios Kid,123123,1425000,False,False,True,False,20
Move custom full option 2013/2017,Daihatsu,Move,73000,2150000,False,False,True,False,11
honda civic reborn,Honda,Civic Prosmetic,160000,1670000,False,False,True,False,17
Suzuki cultus vx 2006,Suzuki,Cultus VXR,80000,900000,False,False,True,True,18
brand new car just buy n drive fully fresh chill ac,Daihatsu,Mira,115000,660000,False,False,True,False,13
car for sale only one hand used,Honda,City IVTEC,112076,3400000,False,False,True,True,1
Toyota XLI 2008 model,Toyota,Corolla XLI,100000,1920000,False,False,False,True,16
Wagon R  2014 VXL,Suzuki,Wagon R,125000,1600000,False,False,True,True,10
ہنڈائ سنٹرو کلب اندر سے جیوین باہر سے ٹیچنگ ے ہلکی پھلکی,Hyundai,Santro,84298,890000,False,False,True,True,17
TOYOTA COROLLA ALTIS 1.6,Toyota,Corrolla Altis,49000,4475000,False,False,True,False,5
suzuki cultus,Suzuki,Cultus VXR,52000,1050000,False,False,True,True,15
Honda city apire 1.5 prosmetic,Honda,City Aspire,75000,4199000,False,False,True,False,3
eminent blue mehran vxr 2009 model for sale,Suzuki,Mehran VXR,96000,620000,False,False,True,True,15
Engine100% Ac chill back camera LCD front speaker Tyres60% full ok%car,Daihatsu,Cuore,100000,1000000,False,False,True,True,18
HONDA CIVIC REBORN 2009,Honda,Civic Prosmetic,105700,1825000,False,False,True,False,15
mini pajeri,Mitsubishi,Pajero Mini,100000,1025000,False,False,True,True,17
swift,Suzuki,Swift,90000,2100000,False,False,True,True,7
Toyota Passo Pearl White 2015,Toyota,Passo,55600,3090000,False,False,True,False,9
city 2013,Honda,City IVTEC,130000,2650000,False,False,True,False,11
civic reborn isb,Honda,City IVTEC,85000,3100000,False,False,True,True,11
Kia Picanto AT 1.0  Black 2021,KIA,Picanto,14600,3000000,False,False,True,False,3
I am selling coure 2007,Daihatsu,Cuore,100000,830000,False,False,True,True,17
Suzuki bolan,Suzuki,Bolan,50000,950000,False,False,True,True,9
honda city 1.5 aspire automatic,Honda,City Aspire,64000,4500000,False,False,True,False,3
petrol engine selling car,Suzuki,Alto,58600,1165000,False,False,True,True,12
Karwaan Plus 2021,Changan,Karvaan,27000,2250000,False,False,True,True,3
Suzuki swift android penal mint condion,Suzuki,Swift,92900,2225000,False,False,True,True,8
Suzuki Ravi,Suzuki,Ravi,65000,700000,False,False,True,True,9
Baleno 2005 With complete Japanese Accessories,Suzuki,Baleno,109000,1380000,False,False,True,True,19
faw xpv,FAW,X-PV,156000,875000,False,False,True,True,8
Daihatsu Mira G smart Package,Daihatsu,Mira,60000,2200000,False,False,True,False,11
gari bilkul ok ha gari sari shwer ha sari seal ok ha,Toyota,Corolla XLI,300000,2720000,False,False,True,True,7
Alto VXL Ags,Suzuki,Alto,15000,2900000,False,False,True,False,1
Daihatsu Mira ES,Daihatsu,Mira,82356,2010000,False,False,True,False,13
suzuki bolan 2014 model for sale,Suzuki,Bolan,80000,1130000,False,False,True,True,10
SUZUKI ALTO VXR 2003 FULLY ORIGINAL CONDITION,Suzuki,Alto,90000,680000,False,False,True,True,21
DAIHATSU HIJET,Daihatsu,Hijet,123456,1850000,False,False,True,False,8
coure cx eco 2010 50%percent orignal andr se seal by seal orignal,Daihatsu,Cuore,70000,830000,False,False,True,True,14
Mitsubishi Ek Wagon 2013 / 2016,Mitsubishi,Ek Wagon,83000,2000000,False,False,True,False,11
SUZUKI SWIFT 2022 FULL OPTION AUTO TRANSMISSION JUST LIKE BRAND NEW,Suzuki,Swift,13000,4750000,False,False,True,False,2
Suzuki Baleno,Suzuki,Baleno,249000,900000,False,False,True,True,20
Wagonr Limited Japanese Mint Condition For Sale,Suzuki,Wagon R,120000,2100000,False,False,True,False,12
carry bolan 2007,Suzuki,Bolan,50000,850000,False,False,True,True,17
Toyota Passo,Toyota,Passo,80000,3750000,False,False,True,False,6
"Corolla Xli 2011,Crystal light. In Excellent condition.",Toyota,Corolla XLI,123456,2070000,False,False,True,True,13
Corolla Grande,Toyota,Altis Grande,150000,3300000,False,False,True,True,10
Mercedes E240 sunroof body genuine,Mercedes,E Class,120000,3600000,False,False,True,False,21
Honda city model 2006,Honda,City IDSI,152000,1700000,False,False,True,True,18
santro 2002 DEC,Hyundai,Santro,100000,650000,False,False,True,True,22
dihatsu move  urgent sale,Daihatsu,Move,100000,2900000,False,False,True,False,3
HONDA CITY 2001 Auto,Honda,City IDSI,40000,950000,False,False,True,False,23
haijet Atrai turbo 660cc B to B original,Daihatsu,Hijet,150000,2300000,False,False,True,False,13
Toyota Corolla xli,Toyota,Corolla XLI,250000,1350000,False,False,True,True,17
Yaris Toyota 1.3,Toyota,Yaris,22000,5000000,False,False,True,False,2
Toyota Altis automatic for sale,Toyota,Corrolla Altis,105000,2350000,False,False,True,False,14
Cultus 2005 model VXR,Suzuki,Cultus VXR,95000,950000,False,False,True,True,19
City 1.5 Manual Aspire brand new condition,Honda,City Aspire,60500,3950000,False,False,True,True,5
Suzuki ravi,Suzuki,Ravi,60000,1500000,False,False,True,True,7
suzuki swift 2013 model sindh number,Suzuki,Swift,99000,1820000,False,False,True,True,11
suzuki alto vxl ags 2022,Suzuki,Alto,7300,2815000,False,False,True,False,2
lancer 2005,Mitsubishi,Lancer,112233,1200000,False,False,True,True,19
This car is in good condition and also it's engine,Suzuki,Swift,123000,2200000,False,False,True,True,8
foll saond sistam,Suzuki,Baleno,75000,560000,False,False,True,True,19
Daihatsu Coure 2011 Automatic,Daihatsu,Cuore,35000,1200000,False,False,True,False,13
Wagon R 2018 Full Perfect Never Open 0 Accident,Suzuki,Wagon R,93575,1925000,False,False,True,True,6
Blaeno Suzuki 2003model,Suzuki,Baleno,99999,930000,False,False,True,True,21
changan karvaan plus 2022 model urgent sale biomatric available,Changan,Karvaan,7000,2200000,False,False,True,True,2
wagon R 2019 model,Suzuki,Wagon R,50000,2500000,False,False,True,True,5
Xli 2020 model Saaf gari,Toyota,Corolla XLI,48000,4300000,False,False,True,False,4
toyota corrolla Gli total geniune,Toyota,Corolla GLI,60000,2195000,False,False,True,True,5
faw xpv for sale,FAW,X-PV,150000,900000,False,False,True,True,10
Toyota Yaris,Toyota,Yaris,42000,4100000,False,False,True,False,3
Carry bolan for sale 2009(0332-5267699),Suzuki,Bolan,100000,860000,False,False,True,True,15
Mehran 2011 model,Suzuki,Mehran VXR,35000,530000,False,False,True,True,13
Honda City 1.3 iVTEC 2010,Honda,City IVTEC,210000,2490000,False,False,True,True,14
Mira ES,Daihatsu,Mira,100000,2070000,False,False,True,False,12
new tire new Battery koi kaam ni hone wala,Daihatsu,Hijet,5700,1150000,False,False,True,False,7
Toyota Corolla 1.3 GLi Manual,Toyota,Corolla GLI,105000,2650000,False,False,True,True,12
Suzuki Swift DLX 2016,Suzuki,Swift,74000,2225000,False,False,True,True,8
Suzuki swift dlx 2019,Suzuki,Swift,62000,2690000,False,False,True,True,5
wagon r VXL 2021 b2b genuine,Suzuki,Wagon R,8000,2900000,False,False,True,True,3
Suzuki Bolan carry diba,Suzuki,Bolan,46500,850000,False,False,True,True,9
Daihatsu currently 2009,Daihatsu,Cuore,84512,745000,False,False,True,True,16
Toyota corolla xli 2007,Toyota,Corolla XLI,150000,1650000,False,False,True,True,17
Honda city 2005 03115777508,Honda,City IDSI,95000,1625000,False,False,True,True,19
Chevrolet joy 2009 better than mehran alto coure,Chevrolet,Joy,107000,900000,False,False,True,True,15
100% genuine.  in doctor use,Honda,Civic Oriel,90000,4850000,False,False,True,False,7
Toyota Yaris ATIV X CVT-i 1.5 Excellent Condition 2021,Toyota,Yaris,20000,4380000,False,False,True,False,3
"Suzuki Every sofa set 2021 Model, Fresh Import 2023 fx price investme",Suzuki,Every,15654,3270000,False,False,True,False,3
Hyundai Santro Club 2003 Bumper to bumper Total Genuan brand new tyers,Hyundai,Santro,123456,825000,False,False,True,True,21
Suzuki Alto 2004 November Model Karachi  Running position,Suzuki,Alto,100000,480000,False,False,False,True,20
