marca,modelo,ano,quilometragem,preco,combustivel,car_documents,tipo,transmissão,year_range,km's driven_range,faixa_preco,faixa_preco_prevista,valor_estimado
Toyota,Passo,2021,54000.0,419000,Gasolina,Original,Importado,Automatic,6,2,Luxo,Luxo,681403.3241134752
Suzuki,Ravi,2018,95000.0,130000,Gasolina,Original,Nacional,Manual,5,4,Econômico,Econômico,149497.18328086744
Suzuki,Bolan,2015,50000.0,800000,Gasolina,Original,Nacional,Manual,4,2,Luxo,Luxo,681403.3241134752
Daihatsu,Move,2013,94000.0,215500,Gasolina,Original,Importado,Automatic,4,4,Intermediário,Econômico,149497.18328086744
Suzuki,Swift,2011,126544.0,144000,Gasolina,Original,Nacional,Manual,3,5,Econômico,Econômico,149497.18328086744
Suzuki,Wagon R,2020,54000.0,283000,Gasolina,Original,Nacional,Automatic,5,2,Intermediário,Intermediário,245657.07356430945
Daihatsu,Mira,2013,140000.0,215000,Gasolina,Original,Importado,Automatic,4,5,Intermediário,Intermediário,245657.07356430945
Suzuki,Bolan,2016,32000.0,105000,Gasolina,Original,Nacional,Manual,4,2,Econômico,Econômico,149497.18328086744
Honda,City IDSI,2004,160000.0,123000,Gasolina,Original,Nacional,Manual,1,6,Econômico,Econômico,149497.18328086744
Suzuki,Cultus VXR,2008,75000.0,950000,Gasolina,Original,Nacional,Manual,2,3,Luxo,Luxo,681403.3241134752
Suzuki,Every,2018,101628.0,185000,Gasolina,Original,Importado,Automatic,5,4,Econômico,Econômico,149497.18328086744
Toyota,Corolla XLI,2007,346000.0,189500,Gasolina,Original,Nacional,Manual,2,12,Econômico,Econômico,149497.18328086744
Suzuki,Baleno,2004,140000.0,930000,Gasolina,Original,Importado,Manual,1,5,Luxo,Luxo,681403.3241134752
Honda,City Vario,2006,80000.0,167000,Gasolina,Original,Importado,Automatic,2,3,Econômico,Econômico,149497.18328086744
Daihatsu,Move,2021,6500.0,349900,Gasolina,Original,Importado,Automatic,6,1,Premium,Premium,350855.0221465077
